Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
1.98,120668.5,1674.51,6.559923664,16.77180662
2.01,120668.5,1674.51,6.559923664,16.77180662
2.62,120668.5,1674.51,6.559923664,16.77180662
2.73,120668.5,1674.51,6.559923664,16.77180662
2.26,120668.5,1674.51,6.559923664,16.77180662
2.47,120668.5,1674.51,6.559923664,16.77180662
1.25,130584.37,1840.67,7.133056872,17.32080569
1.12,130584.37,1840.67,7.133056872,17.32080569
1.29,130584.37,1840.67,7.133056872,17.32080569
1.36,130584.37,1840.67,7.133056872,17.32080569
1.16,130584.37,1840.67,7.133056872,17.32080569
1.1,130584.37,1840.67,7.133056872,17.32080569
1.49,143581.62,1933.6,7.965714286,18.24795604
1.3,143581.62,1933.6,7.965714286,18.24795604
1.42,143581.62,1933.6,7.965714286,18.24795604
1.53,143581.62,1933.6,7.965714286,18.24795604
1.37,143581.62,1933.6,7.965714286,18.24795604
1.29,143581.62,1933.6,7.965714286,18.24795604
0.7,157547.41,2013.38,8.579391481,18.96014199
0.55,157547.41,2013.38,8.579391481,18.96014199
0.64,157547.41,2013.38,8.579391481,18.96014199
0.71,157547.41,2013.38,8.579391481,18.96014199
0.73,157547.41,2013.38,8.579391481,18.96014199
0.59,157547.41,2013.38,8.579391481,18.96014199
2.88,235055.43,3272.48,5.715183246,16.21633508
2.87,235055.43,3272.48,5.715183246,16.21633508
2.78,235055.43,3272.48,5.715183246,16.21633508
2.47,235055.43,3272.48,5.715183246,16.21633508
2.36,235055.43,3272.48,5.715183246,16.21633508
2.43,235055.43,3272.48,5.715183246,16.21633508
2.54,235055.43,3272.48,5.715183246,16.21633508
2.83,235055.43,3272.48,5.715183246,16.21633508
2.5,235055.43,3272.48,5.715183246,16.21633508
2.55,235055.43,3272.48,5.715183246,16.21633508
1.43,244971.3,3438.64,6.051071879,16.52880202
1.35,244971.3,3438.64,6.051071879,16.52880202
1.33,244971.3,3438.64,6.051071879,16.52880202
1.2,244971.3,3438.64,6.051071879,16.52880202
1.21,244971.3,3438.64,6.051071879,16.52880202
1.27,244971.3,3438.64,6.051071879,16.52880202
1.35,244971.3,3438.64,6.051071879,16.52880202
1.32,244971.3,3438.64,6.051071879,16.52880202
1.46,244971.3,3438.64,6.051071879,16.52880202
1.26,244971.3,3438.64,6.051071879,16.52880202
1.99,257968.55,3531.57,6.552966102,17.07116223
1.79,257968.55,3531.57,6.552966102,17.07116223
1.78,257968.55,3531.57,6.552966102,17.07116223
1.62,257968.55,3531.57,6.552966102,17.07116223
1.78,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
1.87,257968.55,3531.57,6.552966102,17.07116223
1.84,257968.55,3531.57,6.552966102,17.07116223
1.98,257968.55,3531.57,6.552966102,17.07116223
1.72,257968.55,3531.57,6.552966102,17.07116223
1.17,271934.34,3611.35,6.965266204,17.52929398
1.16,271934.34,3611.35,6.965266204,17.52929398
1.04,271934.34,3611.35,6.965266204,17.52929398
0.86,271934.34,3611.35,6.965266204,17.52929398
1.03,271934.34,3611.35,6.965266204,17.52929398
0.99,271934.34,3611.35,6.965266204,17.52929398
0.98,271934.34,3611.35,6.965266204,17.52929398
1.13,271934.34,3611.35,6.965266204,17.52929398
1.16,271934.34,3611.35,6.965266204,17.52929398
0.99,271934.34,3611.35,6.965266204,17.52929398
2,244241.54,2239.92,5.165557012,16.24311927
1.84,244241.54,2239.92,5.165557012,16.24311927
1.85,244241.54,2239.92,5.165557012,16.24311927
1.84,244241.54,2239.92,5.165557012,16.24311927
1.95,244241.54,2239.92,5.165557012,16.24311927
1.95,244241.54,2239.92,5.165557012,16.24311927
1.88,244241.54,2239.92,5.165557012,16.24311927
1.84,244241.54,2239.92,5.165557012,16.24311927
1.74,244241.54,2239.92,5.165557012,16.24311927
1.85,244241.54,2239.92,5.165557012,16.24311927
1.93,255616.65,2365.86,5.618764187,16.68960908
1.8,255616.65,2365.86,5.618764187,16.68960908
1.81,255616.65,2365.86,5.618764187,16.68960908
1.75,255616.65,2365.86,5.618764187,16.68960908
1.76,255616.65,2365.86,5.618764187,16.68960908
1.72,255616.65,2365.86,5.618764187,16.68960908
1.71,255616.65,2365.86,5.618764187,16.68960908
1.69,255616.65,2365.86,5.618764187,16.68960908
1.68,255616.65,2365.86,5.618764187,16.68960908
1.19,255616.65,2365.86,5.618764187,16.68960908
1.77,269016.87,2574.02,6.122321644,17.21613059
1.66,269016.87,2574.02,6.122321644,17.21613059
1.63,269016.87,2574.02,6.122321644,17.21613059
1.44,269016.87,2574.02,6.122321644,17.21613059
1.53,269016.87,2574.02,6.122321644,17.21613059
1.67,269016.87,2574.02,6.122321644,17.21613059
1.58,269016.87,2574.02,6.122321644,17.21613059
1.58,269016.87,2574.02,6.122321644,17.21613059
1.56,269016.87,2574.02,6.122321644,17.21613059
1.26,269016.87,2574.02,6.122321644,17.21613059
1.09,285825.46,2634.73,6.606260069,17.79072497
1.03,285825.46,2634.73,6.606260069,17.79072497
1,285825.46,2634.73,6.606260069,17.79072497
0.94,285825.46,2634.73,6.606260069,17.79072497
0.97,285825.46,2634.73,6.606260069,17.79072497
0.99,285825.46,2634.73,6.606260069,17.79072497
1.16,285825.46,2634.73,6.606260069,17.79072497
0.84,285825.46,2634.73,6.606260069,17.79072497
0.94,285825.46,2634.73,6.606260069,17.79072497
0.66,285825.46,2634.73,6.606260069,17.79072497
1.68,361996.1,3569.09,5.291709251,16.34720705
1.37,361996.1,3569.09,5.291709251,16.34720705
1.46,361996.1,3569.09,5.291709251,16.34720705
1.36,361996.1,3569.09,5.291709251,16.34720705
1.31,361996.1,3569.09,5.291709251,16.34720705
1.3,361996.1,3569.09,5.291709251,16.34720705
1.05,361996.1,3569.09,5.291709251,16.34720705
1.41,361996.1,3569.09,5.291709251,16.34720705
1.42,361996.1,3569.09,5.291709251,16.34720705
1.36,361996.1,3569.09,5.291709251,16.34720705
1.16,372266.78,3715.69,5.548177128,16.59960447
1.05,372266.78,3715.69,5.548177128,16.59960447
1.02,372266.78,3715.69,5.548177128,16.59960447
1.03,372266.78,3715.69,5.548177128,16.59960447
1.08,372266.78,3715.69,5.548177128,16.59960447
1.02,372266.78,3715.69,5.548177128,16.59960447
1.06,372266.78,3715.69,5.548177128,16.59960447
0.83,372266.78,3715.69,5.548177128,16.59960447
1.13,372266.78,3715.69,5.548177128,16.59960447
0.69,372266.78,3715.69,5.548177128,16.59960447
0.92,383493.75,3817.77,5.859210747,16.93473552
1.15,383493.75,3817.77,5.859210747,16.93473552
1.04,383493.75,3817.77,5.859210747,16.93473552
1.11,383493.75,3817.77,5.859210747,16.93473552
0.97,383493.75,3817.77,5.859210747,16.93473552
1.12,383493.75,3817.77,5.859210747,16.93473552
1.11,383493.75,3817.77,5.859210747,16.93473552
0.97,383493.75,3817.77,5.859210747,16.93473552
1.07,383493.75,3817.77,5.859210747,16.93473552
0.69,383493.75,3817.77,5.859210747,16.93473552
0.79,400987.9,3982.19,6.248983051,17.34995157
0.78,400987.9,3982.19,6.248983051,17.34995157
0.86,400987.9,3982.19,6.248983051,17.34995157
0.88,400987.9,3982.19,6.248983051,17.34995157
0.93,400987.9,3982.19,6.248983051,17.34995157
0.81,400987.9,3982.19,6.248983051,17.34995157
0.85,400987.9,3982.19,6.248983051,17.34995157
0.77,400987.9,3982.19,6.248983051,17.34995157
0.75,400987.9,3982.19,6.248983051,17.34995157
0.78,400987.9,3982.19,6.248983051,17.34995157
2.72,79771.91,996.35,3.253768116,14.35050725
2.77,79771.91,996.35,3.253768116,14.35050725
2.46,79771.91,996.35,3.253768116,14.35050725
2.71,79771.91,996.35,3.253768116,14.35050725
2.31,79771.91,996.35,3.253768116,14.35050725
2.34,79771.91,996.35,3.253768116,14.35050725
2.3,79771.91,996.35,3.253768116,14.35050725
2.55,79771.91,996.35,3.253768116,14.35050725
2.53,79771.91,996.35,3.253768116,14.35050725
2.42,79771.91,996.35,3.253768116,14.35050725
2.52,79771.91,996.35,3.253768116,14.35050725
2.57,79771.91,996.35,3.253768116,14.35050725
2.24,79771.91,996.35,3.253768116,14.35050725
1.71,93811.12,1087.45,4.524516129,15.80587097
1.84,93811.12,1087.45,4.524516129,15.80587097
1.73,93811.12,1087.45,4.524516129,15.80587097
1.67,93811.12,1087.45,4.524516129,15.80587097
1.76,93811.12,1087.45,4.524516129,15.80587097
1.67,93811.12,1087.45,4.524516129,15.80587097
1.73,93811.12,1087.45,4.524516129,15.80587097
1.8,93811.12,1087.45,4.524516129,15.80587097
1.67,93811.12,1087.45,4.524516129,15.80587097
1.57,93811.12,1087.45,4.524516129,15.80587097
1.72,93811.12,1087.45,4.524516129,15.80587097
1.4,93811.12,1087.45,4.524516129,15.80587097
1.64,93811.12,1087.45,5.868542274,17.28763848
1.57,106233.46,1211.66,5.868542274,17.28763848
1.4,106233.46,1211.66,5.868542274,17.28763848
1.52,106233.46,1211.66,5.868542274,17.28763848
1.43,106233.46,1211.66,5.868542274,17.28763848
1.49,106233.46,1211.66,5.868542274,17.28763848
1.5,106233.46,1211.66,5.868542274,17.28763848
1.38,106233.46,1211.66,5.868542274,17.28763848
1.27,106233.46,1211.66,5.868542274,17.28763848
1.41,106233.46,1211.66,5.868542274,17.28763848
1.4,106233.46,1211.66,5.868542274,17.28763848
1.22,106233.46,1211.66,5.868542274,17.28763848
1.39,106233.46,1211.66,5.868542274,17.28763848
1.46,106233.46,1211.66,5.868542274,17.28763848
0.6,120950.35,1272.58,6.756973684,18.39823684
0.57,120950.35,1272.58,6.756973684,18.39823684
0.67,120950.35,1272.58,6.756973684,18.39823684
0.55,120950.35,1272.58,6.756973684,18.39823684
0.57,120950.35,1272.58,6.756973684,18.39823684
0.58,120950.35,1272.58,6.756973684,18.39823684
0.66,120950.35,1272.58,6.756973684,18.39823684
0.42,120950.35,1272.58,6.756973684,18.39823684
0.42,120950.35,1272.58,6.756973684,18.39823684
0.54,120950.35,1272.58,6.756973684,18.39823684
0.4,120950.35,1272.58,6.756973684,18.39823684
0.47,120950.35,1272.58,6.756973684,18.39823684
0.48,120950.35,1272.58,6.756973684,18.39823684
2.62,198074.42,2043.17,4.370772798,15.62190108
2.5,198074.42,2043.17,4.370772798,15.62190108
2.33,198074.42,2043.17,4.370772798,15.62190108
2.25,198074.42,2043.17,4.370772798,15.62190108
2.41,198074.42,2043.17,4.370772798,15.62190108
2.49,198074.42,2043.17,4.370772798,15.62190108
2.34,198074.42,2043.17,4.370772798,15.62190108
2.36,198074.42,2043.17,4.370772798,15.62190108
2.34,198074.42,2043.17,4.370772798,15.62190108
2.3,198074.42,2043.17,4.370772798,15.62190108
2.26,198074.42,2043.17,4.370772798,15.62190108
2.36,198074.42,2043.17,4.370772798,15.62190108
2.29,198074.42,2043.17,4.370772798,15.62190108
1.6,208057.01,2160.44,4.766359584,16.0279049
1.52,208057.01,2160.44,4.766359584,16.0279049
1.47,208057.01,2160.44,4.766359584,16.0279049
1.49,208057.01,2160.44,4.766359584,16.0279049
1.59,208057.01,2160.44,4.766359584,16.0279049
1.5,208057.01,2160.44,4.766359584,16.0279049
1.54,208057.01,2160.44,4.766359584,16.0279049
1.45,208057.01,2160.44,4.766359584,16.0279049
1.26,208057.01,2160.44,4.766359584,16.0279049
1.48,208057.01,2160.44,4.766359584,16.0279049
1.51,208057.01,2160.44,4.766359584,16.0279049
1.5,208057.01,2160.44,4.766359584,16.0279049
1.32,208057.01,2160.44,4.766359584,16.0279049
1.17,220025.4,2382.58,5.382951977,16.57200565
1.23,220025.4,2382.58,5.382951977,16.57200565
1.21,220025.4,2382.58,5.382951977,16.57200565
1.26,220025.4,2382.58,5.382951977,16.57200565
1.21,220025.4,2382.58,5.382951977,16.57200565
1.22,220025.4,2382.58,5.382951977,16.57200565
1.22,220025.4,2382.58,5.382951977,16.57200565
1.1,220025.4,2382.58,5.382951977,16.57200565
1.13,220025.4,2382.58,5.382951977,16.57200565
1.23,220025.4,2382.58,5.382951977,16.57200565
1.1,220025.4,2382.58,5.382951977,16.57200565
1.12,220025.4,2382.58,5.382951977,16.57200565
1.14,220025.4,2382.58,5.382951977,16.57200565
0.84,236439.38,2431.7,5.891001335,17.13734312
0.96,236439.38,2431.7,5.891001335,17.13734312
0.98,236439.38,2431.7,5.891001335,17.13734312
0.99,236439.38,2431.7,5.891001335,17.13734312
1.03,236439.38,2431.7,5.891001335,17.13734312
0.97,236439.38,2431.7,5.891001335,17.13734312
0.85,236439.38,2431.7,5.891001335,17.13734312
0.94,236439.38,2431.7,5.891001335,17.13734312
0.84,236439.38,2431.7,5.891001335,17.13734312
0.88,236439.38,2431.7,5.891001335,17.13734312
0.82,236439.38,2431.7,5.891001335,17.13734312
0.77,236439.38,2431.7,5.891001335,17.13734312
0.91,236439.38,2431.7,5.891001335,17.13734312
1.64,315050.09,3307.53,4.124489594,15.37908821
1.36,315050.09,3307.53,4.124489594,15.37908821
1.51,315050.09,3307.53,4.124489594,15.37908821
1.52,315050.09,3307.53,4.124489594,15.37908821
1.56,315050.09,3307.53,4.124489594,15.37908821
1.54,315050.09,3307.53,4.124489594,15.37908821
1.44,315050.09,3307.53,4.124489594,15.37908821
1.58,315050.09,3307.53,4.124489594,15.37908821
1.47,315050.09,3307.53,4.124489594,15.37908821
1.54,315050.09,3307.53,4.124489594,15.37908821
1.49,315050.09,3307.53,4.124489594,15.37908821
1.28,315050.09,3307.53,4.124489594,15.37908821
1.27,315050.09,3307.53,4.124489594,15.37908821
1.33,327376.19,3477.61,4.505417066,15.75848514
1.36,327376.19,3477.61,4.505417066,15.75848514
1.27,327376.19,3477.61,4.505417066,15.75848514
1.36,327376.19,3477.61,4.505417066,15.75848514
1.25,327376.19,3477.61,4.505417066,15.75848514
1.34,327376.19,3477.61,4.505417066,15.75848514
1.31,327376.19,3477.61,4.505417066,15.75848514
1.25,327376.19,3477.61,4.505417066,15.75848514
1.25,327376.19,3477.61,4.505417066,15.75848514
1.3,327376.19,3477.61,4.505417066,15.75848514
1.16,327376.19,3477.61,4.505417066,15.75848514
1.14,327376.19,3477.61,4.505417066,15.75848514
1.15,327376.19,3477.61,4.505417066,15.75848514
0.87,339554.69,3603.04,4.796666667,16.04993482
0.84,339554.69,3603.04,4.796666667,16.04993482
0.74,339554.69,3603.04,4.796666667,16.04993482
0.9,339554.69,3603.04,4.796666667,16.04993482
0.84,339554.69,3603.04,4.796666667,16.04993482
0.82,339554.69,3603.04,4.796666667,16.04993482
0.84,339554.69,3603.04,4.796666667,16.04993482
0.89,339554.69,3603.04,4.796666667,16.04993482
0.77,339554.69,3603.04,4.796666667,16.04993482
0.79,339554.69,3603.04,4.796666667,16.04993482
0.82,339554.69,3603.04,4.796666667,16.04993482
0.65,339554.69,3603.04,4.796666667,16.04993482
0.8,339554.69,3603.04,4.796666667,16.04993482
0.73,354549.19,3726.33,5.185969479,16.44598743
0.82,354549.19,3726.33,5.185969479,16.44598743
0.72,354549.19,3726.33,5.185969479,16.44598743
0.78,354549.19,3726.33,5.185969479,16.44598743
0.77,354549.19,3726.33,5.185969479,16.44598743
0.7,354549.19,3726.33,5.185969479,16.44598743
0.71,354549.19,3726.33,5.185969479,16.44598743
0.73,354549.19,3726.33,5.185969479,16.44598743
0.79,354549.19,3726.33,5.185969479,16.44598743
0.75,354549.19,3726.33,5.185969479,16.44598743
0.67,354549.19,3726.33,5.185969479,16.44598743
0.77,354549.19,3726.33,5.185969479,16.44598743
0.66,354549.19,3726.33,5.185969479,16.44598743
2.31,431184.35,4457.5,4.120014545,15.26267636
2.24,431184.35,4457.5,4.120014545,15.26267636
2.16,431184.35,4457.5,4.120014545,15.26267636
2.21,431184.35,4457.5,4.120014545,15.26267636
2.26,431184.35,4457.5,4.120014545,15.26267636
2.1,431184.35,4457.5,4.120014545,15.26267636
2.26,431184.35,4457.5,4.120014545,15.26267636
2.11,431184.35,4457.5,4.120014545,15.26267636
2.09,431184.35,4457.5,4.120014545,15.26267636
2.14,431184.35,4457.5,4.120014545,15.26267636
2.04,431184.35,4457.5,4.120014545,15.26267636
1.99,431184.35,4457.5,4.120014545,15.26267636
2,431184.35,4457.5,4.120014545,15.26267636
1.54,442999.55,4763.93,4.415815603,15.52352482
1.51,442999.55,4763.93,4.415815603,15.52352482
1.62,442999.55,4763.93,4.415815603,15.52352482
1.55,442999.55,4763.93,4.415815603,15.52352482
1.57,442999.55,4763.93,4.415815603,15.52352482
1.42,442999.55,4763.93,4.415815603,15.52352482
1.36,442999.55,4763.93,4.415815603,15.52352482
1.46,442999.55,4763.93,4.415815603,15.52352482
1.51,442999.55,4763.93,4.415815603,15.52352482
1.39,442999.55,4763.93,4.415815603,15.52352482
1.41,442999.55,4763.93,4.415815603,15.52352482
1.39,442999.55,4763.93,4.415815603,15.52352482
1.33,442999.55,4763.93,4.415815603,15.52352482
0.63,453827.56,4926.91,4.654944367,15.74800417
0.66,453827.56,4926.91,4.654944367,15.74800417
0.78,453827.56,4926.91,4.654944367,15.74800417
0.63,453827.56,4926.91,4.654944367,15.74800417
0.67,453827.56,4926.91,4.654944367,15.74800417
0.77,453827.56,4926.91,4.654944367,15.74800417
0.63,453827.56,4926.91,4.654944367,15.74800417
0.58,453827.56,4926.91,4.654944367,15.74800417
0.58,453827.56,4926.91,4.654944367,15.74800417
0.59,453827.56,4926.91,4.654944367,15.74800417
0.66,453827.56,4926.91,4.654944367,15.74800417
0.43,453827.56,4926.91,4.654944367,15.74800417
0.65,453827.56,4926.91,4.654944367,15.74800417
0.36,469472.57,5006.9,4.939729364,16.05583221
0.37,469472.57,5006.9,4.939729364,16.05583221
0.4,469472.57,5006.9,4.939729364,16.05583221
0.35,469472.57,5006.9,4.939729364,16.05583221
0.39,469472.57,5006.9,4.939729364,16.05583221
0.36,469472.57,5006.9,4.939729364,16.05583221
0.41,469472.57,5006.9,4.939729364,16.05583221
0.3,469472.57,5006.9,4.939729364,16.05583221
0.37,469472.57,5006.9,4.939729364,16.05583221
0.35,469472.57,5006.9,4.939729364,16.05583221
0.34,469472.57,5006.9,4.939729364,16.05583221
0.2,469472.57,5006.9,4.939729364,16.05583221
0.32,469472.57,5006.9,4.939729364,16.05583221
2.62,119766.11,1173.67,4.267780749,15.16181818
2.56,119766.11,1173.67,4.267780749,15.16181818
2.6,119766.11,1173.67,4.267780749,15.16181818
2.65,119766.11,1173.67,4.267780749,15.16181818
2.58,119766.11,1173.67,4.267780749,15.16181818
2.68,119766.11,1173.67,4.267780749,15.16181818
2.8,119766.11,1173.67,4.267780749,15.16181818
2.35,119766.11,1173.67,4.267780749,15.16181818
2.32,119766.11,1173.67,4.267780749,15.16181818
2.48,119766.11,1173.67,4.267780749,15.16181818
2.71,119766.11,1173.67,4.267780749,15.16181818
2.55,119766.11,1173.67,4.267780749,15.16181818
2.64,119766.11,1173.67,4.267780749,15.16181818
2.08,131581.31,1480.1,5.274889976,16.0697066
2.2,131581.31,1480.1,5.274889976,16.0697066
2.05,131581.31,1480.1,5.274889976,16.0697066
2.03,131581.31,1480.1,5.274889976,16.0697066
2.01,131581.31,1480.1,5.274889976,16.0697066
2.1,131581.31,1480.1,5.274889976,16.0697066
2.14,131581.31,1480.1,5.274889976,16.0697066
2.09,131581.31,1480.1,5.274889976,16.0697066
2.02,131581.31,1480.1,5.274889976,16.0697066
2.02,131581.31,1480.1,5.274889976,16.0697066
2.16,131581.31,1480.1,5.274889976,16.0697066
2.16,131581.31,1480.1,5.274889976,16.0697066
1.87,131581.31,1480.1,5.274889976,16.0697066
1.48,142409.32,1643.08,6.006727689,16.77338673
1.49,142409.32,1643.08,6.006727689,16.77338673
1.29,142409.32,1643.08,6.006727689,16.77338673
1.24,142409.32,1643.08,6.006727689,16.77338673
1.18,142409.32,1643.08,6.006727689,16.77338673
1.23,142409.32,1643.08,6.006727689,16.77338673
1.28,142409.32,1643.08,6.006727689,16.77338673
1.36,142409.32,1643.08,6.006727689,16.77338673
1.38,142409.32,1643.08,6.006727689,16.77338673
1.42,142409.32,1643.08,6.006727689,16.77338673
1.35,142409.32,1643.08,6.006727689,16.77338673
1.15,142409.32,1643.08,6.006727689,16.77338673
1.06,142409.32,1643.08,6.006727689,16.77338673
0.89,158054.33,1723.07,6.775786164,17.64121593
0.88,158054.33,1723.07,6.775786164,17.64121593
0.94,158054.33,1723.07,6.775786164,17.64121593
0.93,158054.33,1723.07,6.775786164,17.64121593
1,158054.33,1723.07,6.775786164,17.64121593
0.92,158054.33,1723.07,6.775786164,17.64121593
0.85,158054.33,1723.07,6.775786164,17.64121593
0.92,158054.33,1723.07,6.775786164,17.64121593
0.96,158054.33,1723.07,6.775786164,17.64121593
0.88,158054.33,1723.07,6.775786164,17.64121593
1,158054.33,1723.07,6.775786164,17.64121593
0.97,158054.33,1723.07,6.775786164,17.64121593
0.88,158054.33,1723.07,6.775786164,17.64121593
2.24,231402.67,2478.27,5.055652174,16.05476902
2.05,231402.67,2478.27,5.055652174,16.05476902
2.23,231402.67,2478.27,5.055652174,16.05476902
2.13,231402.67,2478.27,5.055652174,16.05476902
2.1,231402.67,2478.27,5.055652174,16.05476902
2.22,231402.67,2478.27,5.055652174,16.05476902
2.31,231402.67,2478.27,5.055652174,16.05476902
2.13,231402.67,2478.27,5.055652174,16.05476902
2.12,231402.67,2478.27,5.055652174,16.05476902
2.12,231402.67,2478.27,5.055652174,16.05476902
2.52,231402.67,2478.27,5.055652174,16.05476902
2.39,231402.67,2478.27,5.055652174,16.05476902
2.14,231402.67,2478.27,5.055652174,16.05476902
1.75,243903.24,2563,5.498422425,16.54314211
1.82,243903.24,2563,5.498422425,16.54314211
1.55,243903.24,2563,5.498422425,16.54314211
1.6,243903.24,2563,5.498422425,16.54314211
1.4,243903.24,2563,5.498422425,16.54314211
1.58,243903.24,2563,5.498422425,16.54314211
1.77,243903.24,2563,5.498422425,16.54314211
1.8,243903.24,2563,5.498422425,16.54314211
1.89,243903.24,2563,5.498422425,16.54314211
1.71,243903.24,2563,5.498422425,16.54314211
1.93,243903.24,2563,5.498422425,16.54314211
1.97,243903.24,2563,5.498422425,16.54314211
1.61,243903.24,2563,5.498422425,16.54314211
1.47,256313.61,2658.89,5.995425,17.05275
1.48,256313.61,2658.89,5.995425,17.05275
1.41,256313.61,2658.89,5.995425,17.05275
1.51,256313.61,2658.89,5.995425,17.05275
1.42,256313.61,2658.89,5.995425,17.05275
1.37,256313.61,2658.89,5.995425,17.05275
1.5,256313.61,2658.89,5.995425,17.05275
1.58,256313.61,2658.89,5.995425,17.05275
1.48,256313.61,2658.89,5.995425,17.05275
1.49,256313.61,2658.89,5.995425,17.05275
1.54,256313.61,2658.89,5.995425,17.05275
1.32,256313.61,2658.89,5.995425,17.05275
1.38,256313.61,2658.89,5.995425,17.05275
1.28,271314.29,2850.26,6.592339667,17.64296912
1.45,271314.29,2850.26,6.592339667,17.64296912
1.28,271314.29,2850.26,6.592339667,17.64296912
1.27,271314.29,2850.26,6.592339667,17.64296912
1.25,271314.29,2850.26,6.592339667,17.64296912
1.21,271314.29,2850.26,6.592339667,17.64296912
1.35,271314.29,2850.26,6.592339667,17.64296912
1.23,271314.29,2850.26,6.592339667,17.64296912
1.18,271314.29,2850.26,6.592339667,17.64296912
1.12,271314.29,2850.26,6.592339667,17.64296912
1.42,271314.29,2850.26,6.592339667,17.64296912
1.22,271314.29,2850.26,6.592339667,17.64296912
1.22,271314.29,2850.26,6.592339667,17.64296912
1.54,354227.26,3958.13,5.97701677,17.01488085
1.58,354227.26,3958.13,5.97701677,17.01488085
1.44,354227.26,3958.13,5.97701677,17.01488085
1.4,354227.26,3958.13,5.97701677,17.01488085
1.34,354227.26,3958.13,5.97701677,17.01488085
1.35,354227.26,3958.13,5.97701677,17.01488085
1.45,354227.26,3958.13,5.97701677,17.01488085
1.8,354227.26,3958.13,5.97701677,17.01488085
1.32,354227.26,3958.13,5.97701677,17.01488085
1.29,354227.26,3958.13,5.97701677,17.01488085
1.44,354227.26,3958.13,5.97701677,17.01488085
1.41,354227.26,3958.13,5.97701677,17.01488085
1.18,354227.26,3958.13,5.97701677,17.01488085
1.29,366093.1,4164.68,6.265661512,17.30103093
1.25,366093.1,4164.68,6.265661512,17.30103093
1.14,366093.1,4164.68,6.265661512,17.30103093
1.21,366093.1,4164.68,6.265661512,17.30103093
1.12,366093.1,4164.68,6.265661512,17.30103093
1.15,366093.1,4164.68,6.265661512,17.30103093
1.2,366093.1,4164.68,6.265661512,17.30103093
1.33,366093.1,4164.68,6.265661512,17.30103093
1.2,366093.1,4164.68,6.265661512,17.30103093
1.2,366093.1,4164.68,6.265661512,17.30103093
1.28,366093.1,4164.68,6.265661512,17.30103093
1.15,366093.1,4164.68,6.265661512,17.30103093
1.04,366093.1,4164.68,6.265661512,17.30103093
1,382323.67,4290.11,6.542079536,17.58241922
0.91,382323.67,4290.11,6.542079536,17.58241922
0.82,382323.67,4290.11,6.542079536,17.58241922
0.86,382323.67,4290.11,6.542079536,17.58241922
0.87,382323.67,4290.11,6.542079536,17.58241922
0.81,382323.67,4290.11,6.542079536,17.58241922
0.85,382323.67,4290.11,6.542079536,17.58241922
0.91,382323.67,4290.11,6.542079536,17.58241922
0.89,382323.67,4290.11,6.542079536,17.58241922
0.82,382323.67,4290.11,6.542079536,17.58241922
0.95,382323.67,4290.11,6.542079536,17.58241922
0.89,382323.67,4290.11,6.542079536,17.58241922
0.7,382323.67,4290.11,6.542079536,17.58241922
2.9,125698.49,1697.43,5.4538,16.425175
3.01,125698.49,1697.43,5.4538,16.425175
2.63,125698.49,1697.43,5.4538,16.425175
2.14,125698.49,1697.43,5.4538,16.425175
2.67,125698.49,1697.43,5.4538,16.425175
2.63,125698.49,1697.43,5.4538,16.425175
3.05,125698.49,1697.43,5.4538,16.425175
2.68,125698.49,1697.43,5.4538,16.425175
2.72,125698.49,1697.43,5.4538,16.425175
2.64,125698.49,1697.43,5.4538,16.425175
2.56,125698.49,1697.43,5.4538,16.425175
2.32,136413.72,1886.48,6.284060325,17.20809745
2.21,136413.72,1886.48,6.284060325,17.20809745
2.36,136413.72,1886.48,6.284060325,17.20809745
2.35,136413.72,1886.48,6.284060325,17.20809745
2.12,136413.72,1886.48,6.284060325,17.20809745
1.87,136413.72,1886.48,6.284060325,17.20809745
2.01,136413.72,1886.48,6.284060325,17.20809745
2.25,136413.72,1886.48,6.284060325,17.20809745
2.4,136413.72,1886.48,6.284060325,17.20809745
2.24,136413.72,1886.48,6.284060325,17.20809745
2.2,136413.72,1886.48,6.284060325,17.20809745
1.58,147523.87,1973.19,6.531872411,17.57234466
1.51,147523.87,1973.19,6.531872411,17.57234466
1.5,147523.87,1973.19,6.531872411,17.57234466
1.47,147523.87,1973.19,6.531872411,17.57234466
1.47,147523.87,1973.19,6.531872411,17.57234466
1.47,147523.87,1973.19,6.531872411,17.57234466
1.46,147523.87,1973.19,6.531872411,17.57234466
1.49,147523.87,1973.19,6.531872411,17.57234466
1.53,147523.87,1973.19,6.531872411,17.57234466
1.55,147523.87,1973.19,6.531872411,17.57234466
1.41,147523.87,1973.19,6.531872411,17.57234466
1.37,161391.74,2137.18,7.770301205,18.68375502
1.36,161391.74,2137.18,7.770301205,18.68375502
1.42,161391.74,2137.18,7.770301205,18.68375502
1.14,161391.74,2137.18,7.770301205,18.68375502
1.3,161391.74,2137.18,7.770301205,18.68375502
1.34,161391.74,2137.18,7.770301205,18.68375502
1.32,161391.74,2137.18,7.770301205,18.68375502
1.28,161391.74,2137.18,7.770301205,18.68375502
1.14,161391.74,2137.18,7.770301205,18.68375502
1.26,161391.74,2137.18,7.770301205,18.68375502
1.15,161391.74,2137.18,7.770301205,18.68375502
