Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
1.82,396,123423.86,1337.73,4.908186398,15.92521411
1.49,396,123423.86,1337.73,4.908186398,15.92521411
1.5,396,123423.86,1337.73,4.908186398,15.92521411
1.62,396,123423.86,1337.73,4.908186398,15.92521411
1.56,396,123423.86,1337.73,4.908186398,15.92521411
1.35,396,123423.86,1337.73,4.908186398,15.92521411
1.52,396,123423.86,1337.73,4.908186398,15.92521411
1.67,396,123423.86,1337.73,4.908186398,15.92521411
1.48,396,123423.86,1337.73,4.908186398,15.92521411
1.59,396,123423.86,1337.73,4.908186398,15.92521411
1.43,396,123423.86,1337.73,4.908186398,15.92521411
1.82,432,137167.69,1492.35,5.751224018,16.81512702
1.67,432,137167.69,1492.35,5.751224018,16.81512702
1.53,432,137167.69,1492.35,5.751224018,16.81512702
1.62,432,137167.69,1492.35,5.751224018,16.81512702
1.55,432,137167.69,1492.35,5.751224018,16.81512702
1.62,432,137167.69,1492.35,5.751224018,16.81512702
1.72,432,137167.69,1492.35,5.751224018,16.81512702
1.55,432,137167.69,1492.35,5.751224018,16.81512702
1.52,432,137167.69,1492.35,5.751224018,16.81512702
1.61,432,137167.69,1492.35,5.751224018,16.81512702
1.51,432,137167.69,1492.35,5.751224018,16.81512702
1.7,466,150535.07,1588.49,6.662141328,17.8230621
1.87,466,150535.07,1588.49,6.662141328,17.8230621
1.77,466,150535.07,1588.49,6.662141328,17.8230621
1.74,466,150535.07,1588.49,6.662141328,17.8230621
1.75,466,150535.07,1588.49,6.662141328,17.8230621
1.79,466,150535.07,1588.49,6.662141328,17.8230621
1.57,466,150535.07,1588.49,6.662141328,17.8230621
1.6,466,150535.07,1588.49,6.662141328,17.8230621
1.63,466,150535.07,1588.49,6.662141328,17.8230621
1.54,466,150535.07,1588.49,6.662141328,17.8230621
1.43,466,150535.07,1588.49,6.662141328,17.8230621
1.03,503,163156.29,1737.05,7.308670635,18.48071429
1.03,503,163156.29,1737.05,7.308670635,18.48071429
0.93,503,163156.29,1737.05,7.308670635,18.48071429
1.01,503,163156.29,1737.05,7.308670635,18.48071429
0.95,503,163156.29,1737.05,7.308670635,18.48071429
0.99,503,163156.29,1737.05,7.308670635,18.48071429
0.94,503,163156.29,1737.05,7.308670635,18.48071429
0.91,503,163156.29,1737.05,7.308670635,18.48071429
0.95,503,163156.29,1737.05,7.308670635,18.48071429
0.9,503,163156.29,1737.05,7.308670635,18.48071429
0.75,503,163156.29,1737.05,7.308670635,18.48071429
2.18,763,234032.19,2480.13,5.634646597,16.6852356
2.21,763,234032.19,2480.13,5.634646597,16.6852356
2.28,763,234032.19,2480.13,5.634646597,16.6852356
2.17,763,234032.19,2480.13,5.634646597,16.6852356
2.29,763,234032.19,2480.13,5.634646597,16.6852356
2.29,763,234032.19,2480.13,5.634646597,16.6852356
2.06,763,234032.19,2480.13,5.634646597,16.6852356
2.09,763,234032.19,2480.13,5.634646597,16.6852356
2.2,763,234032.19,2480.13,5.634646597,16.6852356
2.18,763,234032.19,2480.13,5.634646597,16.6852356
2.2,763,234032.19,2480.13,5.634646597,16.6852356
1.74,796,247409.88,2548.6,5.983312422,17.1282936
1.68,796,247409.88,2548.6,5.983312422,17.1282936
1.67,796,247409.88,2548.6,5.983312422,17.1282936
1.74,796,247409.88,2548.6,5.983312422,17.1282936
1.76,796,247409.88,2548.6,5.983312422,17.1282936
1.75,796,247409.88,2548.6,5.983312422,17.1282936
1.75,796,247409.88,2548.6,5.983312422,17.1282936
1.7,796,247409.88,2548.6,5.983312422,17.1282936
1.6,796,247409.88,2548.6,5.983312422,17.1282936
1.76,796,247409.88,2548.6,5.983312422,17.1282936
1.3,796,247409.88,2548.6,5.983312422,17.1282936
1.02,829,259801.52,2627.47,6.807773019,17.95650964
0.95,829,259801.52,2627.47,6.807773019,17.95650964
0.95,829,259801.52,2627.47,6.807773019,17.95650964
0.87,829,259801.52,2627.47,6.807773019,17.95650964
0.94,829,259801.52,2627.47,6.807773019,17.95650964
0.96,829,259801.52,2627.47,6.807773019,17.95650964
1.01,829,259801.52,2627.47,6.807773019,17.95650964
0.98,829,259801.52,2627.47,6.807773019,17.95650964
0.93,829,259801.52,2627.47,6.807773019,17.95650964
1.03,829,259801.52,2627.47,6.807773019,17.95650964
0.75,829,259801.52,2627.47,6.807773019,17.95650964
1.06,866,273619.11,2756.71,6.818754325,18.14455594
1.07,866,273619.11,2756.71,6.818754325,18.14455594
1.1,866,273619.11,2756.71,6.818754325,18.14455594
1.06,866,273619.11,2756.71,6.818754325,18.14455594
1.03,866,273619.11,2756.71,6.818754325,18.14455594
0.96,866,273619.11,2756.71,6.818754325,18.14455594
1.01,866,273619.11,2756.71,6.818754325,18.14455594
1.02,866,273619.11,2756.71,6.818754325,18.14455594
1.01,866,273619.11,2756.71,6.818754325,18.14455594
0.93,866,273619.11,2756.71,6.818754325,18.14455594
0.95,866,273619.11,2756.71,6.818754325,18.14455594
2.38,1130,346264.32,3416.84,5.371927498,16.49879752
2.53,1130,346264.32,3416.84,5.371927498,16.49879752
2.4,1130,346264.32,3416.84,5.371927498,16.49879752
2.43,1130,346264.32,3416.84,5.371927498,16.49879752
2.3,1130,346264.32,3416.84,5.371927498,16.49879752
2.36,1130,346264.32,3416.84,5.371927498,16.49879752
2.24,1130,346264.32,3416.84,5.371927498,16.49879752
2.12,1130,346264.32,3416.84,5.371927498,16.49879752
2.24,1130,346264.32,3416.84,5.371927498,16.49879752
2.22,1130,346264.32,3416.84,5.371927498,16.49879752
2.36,1130,346264.32,3416.84,5.371927498,16.49879752
1.94,1164,358088.32,3598.84,5.649347639,16.77893562
1.88,1164,358088.32,3598.84,5.649347639,16.77893562
1.98,1164,358088.32,3598.84,5.649347639,16.77893562
1.8,1164,358088.32,3598.84,5.649347639,16.77893562
1.96,1164,358088.32,3598.84,5.649347639,16.77893562
1.88,1164,358088.32,3598.84,5.649347639,16.77893562
1.71,1164,358088.32,3598.84,5.649347639,16.77893562
1.73,1164,358088.32,3598.84,5.649347639,16.77893562
1.85,1164,358088.32,3598.84,5.649347639,16.77893562
1.82,1164,358088.32,3598.84,5.649347639,16.77893562
1.54,1164,358088.32,3598.84,5.649347639,16.77893562
1.62,1200,371244.15,3780.14,5.976935887,17.08483764
1.69,1200,371244.15,3780.14,5.976935887,17.08483764
1.7,1200,371244.15,3780.14,5.976935887,17.08483764
1.62,1200,371244.15,3780.14,5.976935887,17.08483764
1.65,1200,371244.15,3780.14,5.976935887,17.08483764
1.58,1200,371244.15,3780.14,5.976935887,17.08483764
1.5,1200,371244.15,3780.14,5.976935887,17.08483764
1.55,1200,371244.15,3780.14,5.976935887,17.08483764
1.61,1200,371244.15,3780.14,5.976935887,17.08483764
1.56,1200,371244.15,3780.14,5.976935887,17.08483764
1.33,1200,371244.15,3780.14,5.976935887,17.08483764
1.21,1235,384907.74,3832.34,6.210857605,17.36054207
1.29,1235,384907.74,3832.34,6.210857605,17.36054207
1.22,1235,384907.74,3832.34,6.210857605,17.36054207
1.19,1235,384907.74,3832.34,6.210857605,17.36054207
1.26,1235,384907.74,3832.34,6.210857605,17.36054207
1.29,1235,384907.74,3832.34,6.210857605,17.36054207
1.24,1235,384907.74,3832.34,6.210857605,17.36054207
1.2,1235,384907.74,3832.34,6.210857605,17.36054207
1.3,1235,384907.74,3832.34,6.210857605,17.36054207
1.25,1235,384907.74,3832.34,6.210857605,17.36054207
0.84,1235,384907.74,3832.34,6.210857605,17.36054207
2.42,402,127496.57,1237.04,3.987419355,15.27359801
2.15,402,127496.57,1237.04,3.987419355,15.27359801
2.19,402,127496.57,1237.04,3.987419355,15.27359801
2.23,402,127496.57,1237.04,3.987419355,15.27359801
2.1,402,127496.57,1237.04,3.987419355,15.27359801
2.26,402,127496.57,1237.04,3.987419355,15.27359801
2.46,402,127496.57,1237.04,3.987419355,15.27359801
2.05,402,127496.57,1237.04,3.987419355,15.27359801
2.15,402,127496.57,1237.04,3.987419355,15.27359801
2.12,402,127496.57,1237.04,3.987419355,15.27359801
2.28,436,140010.34,1414.61,4.872036613,16.1710984
2.25,436,140010.34,1414.61,4.872036613,16.1710984
2.25,436,140010.34,1414.61,4.872036613,16.1710984
2.36,436,140010.34,1414.61,4.872036613,16.1710984
2.27,436,140010.34,1414.61,4.872036613,16.1710984
2.18,436,140010.34,1414.61,4.872036613,16.1710984
1.98,436,140010.34,1414.61,4.872036613,16.1710984
2.31,436,140010.34,1414.61,4.872036613,16.1710984
2,436,140010.34,1414.61,4.872036613,16.1710984
2.07,436,140010.34,1414.61,4.872036613,16.1710984
1.71,478,156602.97,1542.63,5.71302714,17.02663883
1.66,478,156602.97,1542.63,5.71302714,17.02663883
1.67,478,156602.97,1542.63,5.71302714,17.02663883
1.62,478,156602.97,1542.63,5.71302714,17.02663883
1.56,478,156602.97,1542.63,5.71302714,17.02663883
1.7,478,156602.97,1542.63,5.71302714,17.02663883
1.56,478,156602.97,1542.63,5.71302714,17.02663883
1.52,478,156602.97,1542.63,5.71302714,17.02663883
1.58,478,156602.97,1542.63,5.71302714,17.02663883
1.63,478,156602.97,1542.63,5.71302714,17.02663883
1.42,503,165651.16,1614.6,6.197003968,17.5355754
1.38,503,165651.16,1614.6,6.197003968,17.5355754
1.45,503,165651.16,1614.6,6.197003968,17.5355754
1.41,503,165651.16,1614.6,6.197003968,17.5355754
1.43,503,165651.16,1614.6,6.197003968,17.5355754
1.35,503,165651.16,1614.6,6.197003968,17.5355754
1.4,503,165651.16,1614.6,6.197003968,17.5355754
1.17,503,165651.16,1614.6,6.197003968,17.5355754
1.31,503,165651.16,1614.6,6.197003968,17.5355754
1.26,503,165651.16,1614.6,6.197003968,17.5355754
2.81,765,240727.78,2155.61,3.807428198,14.94236292
2.67,765,240727.78,2155.61,3.807428198,14.94236292
2.92,765,240727.78,2155.61,3.807428198,14.94236292
2.71,765,240727.78,2155.61,3.807428198,14.94236292
2.8,765,240727.78,2155.61,3.807428198,14.94236292
2.67,765,240727.78,2155.61,3.807428198,14.94236292
2.62,765,240727.78,2155.61,3.807428198,14.94236292
2.53,765,240727.78,2155.61,3.807428198,14.94236292
2.56,765,240727.78,2155.61,3.807428198,14.94236292
2.47,765,240727.78,2155.61,3.807428198,14.94236292
2.47,765,240727.78,2155.61,3.807428198,14.94236292
2.51,765,240727.78,2155.61,3.807428198,14.94236292
2.53,765,240727.78,2155.61,3.807428198,14.94236292
2.44,765,240727.78,2155.61,3.807428198,14.94236292
2.42,765,240727.78,2155.61,3.807428198,14.94236292
1.93,794,250673.04,2332.16,4.242540881,15.3531195
1.83,794,250673.04,2332.16,4.242540881,15.3531195
1.84,794,250673.04,2332.16,4.242540881,15.3531195
1.94,794,250673.04,2332.16,4.242540881,15.3531195
1.86,794,250673.04,2332.16,4.242540881,15.3531195
1.9,794,250673.04,2332.16,4.242540881,15.3531195
1.88,794,250673.04,2332.16,4.242540881,15.3531195
1.78,794,250673.04,2332.16,4.242540881,15.3531195
1.83,794,250673.04,2332.16,4.242540881,15.3531195
1.74,794,250673.04,2332.16,4.242540881,15.3531195
1.74,794,250673.04,2332.16,4.242540881,15.3531195
1.76,794,250673.04,2332.16,4.242540881,15.3531195
1.68,794,250673.04,2332.16,4.242540881,15.3531195
1.87,794,250673.04,2332.16,4.242540881,15.3531195
1.6,794,250673.04,2332.16,4.242540881,15.3531195
1.73,829,264792.31,2452.18,4.71713253,15.84166265
1.76,829,264792.31,2452.18,4.71713253,15.84166265
1.66,829,264792.31,2452.18,4.71713253,15.84166265
1.74,829,264792.31,2452.18,4.71713253,15.84166265
1.69,829,264792.31,2452.18,4.71713253,15.84166265
1.76,829,264792.31,2452.18,4.71713253,15.84166265
1.9,829,264792.31,2452.18,4.71713253,15.84166265
1.98,829,264792.31,2452.18,4.71713253,15.84166265
1.61,829,264792.31,2452.18,4.71713253,15.84166265
1.66,829,264792.31,2452.18,4.71713253,15.84166265
1.75,829,264792.31,2452.18,4.71713253,15.84166265
1.75,829,264792.31,2452.18,4.71713253,15.84166265
1.67,829,264792.31,2452.18,4.71713253,15.84166265
1.73,829,264792.31,2452.18,4.71713253,15.84166265
1.53,829,264792.31,2452.18,4.71713253,15.84166265
0.94,868,279780.39,2534.37,5.179332566,16.39226697
0.84,868,279780.39,2534.37,5.179332566,16.39226697
0.93,868,279780.39,2534.37,5.179332566,16.39226697
0.89,868,279780.39,2534.37,5.179332566,16.39226697
0.97,868,279780.39,2534.37,5.179332566,16.39226697
0.91,868,279780.39,2534.37,5.179332566,16.39226697
0.82,868,279780.39,2534.37,5.179332566,16.39226697
0.81,868,279780.39,2534.37,5.179332566,16.39226697
0.92,868,279780.39,2534.37,5.179332566,16.39226697
0.9,868,279780.39,2534.37,5.179332566,16.39226697
0.72,868,279780.39,2534.37,5.179332566,16.39226697
0.88,868,279780.39,2534.37,5.179332566,16.39226697
0.88,868,279780.39,2534.37,5.179332566,16.39226697
0.63,868,279780.39,2534.37,5.179332566,16.39226697
0.74,868,279780.39,2534.37,5.179332566,16.39226697
2.76,766,352217.36,3199.81,4.384876325,15.6335689
2.82,766,352217.36,3199.81,4.384876325,15.6335689
2.7,766,352217.36,3199.81,4.384876325,15.6335689
2.65,766,352217.36,3199.81,4.384876325,15.6335689
3.42,766,352217.36,3199.81,4.384876325,15.6335689
2.56,766,352217.36,3199.81,4.384876325,15.6335689
2.81,766,352217.36,3199.81,4.384876325,15.6335689
2.55,766,352217.36,3199.81,4.384876325,15.6335689
2.67,766,352217.36,3199.81,4.384876325,15.6335689
2.51,766,352217.36,3199.81,4.384876325,15.6335689
2.27,766,352217.36,3199.81,4.384876325,15.6335689
2.4,766,352217.36,3199.81,4.384876325,15.6335689
2.93,766,352217.36,3199.81,4.384876325,15.6335689
2.77,766,352217.36,3199.81,4.384876325,15.6335689
2.7,766,352217.36,3199.81,4.384876325,15.6335689
2.65,795,372121.27,3289.44,4.840364098,16.15087214
2.21,795,372121.27,3289.44,4.840364098,16.15087214
2.6,795,372121.27,3289.44,4.840364098,16.15087214
2.45,795,372121.27,3289.44,4.840364098,16.15087214
2.65,795,372121.27,3289.44,4.840364098,16.15087214
2.62,795,372121.27,3289.44,4.840364098,16.15087214
2.39,795,372121.27,3289.44,4.840364098,16.15087214
2.69,795,372121.27,3289.44,4.840364098,16.15087214
2.83,795,372121.27,3289.44,4.840364098,16.15087214
2.77,795,372121.27,3289.44,4.840364098,16.15087214
2.53,795,372121.27,3289.44,4.840364098,16.15087214
2.56,795,372121.27,3289.44,4.840364098,16.15087214
2.62,795,372121.27,3289.44,4.840364098,16.15087214
2.74,795,372121.27,3289.44,4.840364098,16.15087214
2.13,795,372121.27,3289.44,4.840364098,16.15087214
1.19,830,384510.74,3379.62,5.242376645,16.56509046
0.89,830,384510.74,3379.62,5.242376645,16.56509046
1.08,830,384510.74,3379.62,5.242376645,16.56509046
0.99,830,384510.74,3379.62,5.242376645,16.56509046
1.07,830,384510.74,3379.62,5.242376645,16.56509046
1.15,830,384510.74,3379.62,5.242376645,16.56509046
0.99,830,384510.74,3379.62,5.242376645,16.56509046
1.19,830,384510.74,3379.62,5.242376645,16.56509046
1.18,830,384510.74,3379.62,5.242376645,16.56509046
1.18,830,384510.74,3379.62,5.242376645,16.56509046
1.03,830,384510.74,3379.62,5.242376645,16.56509046
1.16,830,384510.74,3379.62,5.242376645,16.56509046
1.07,830,384510.74,3379.62,5.242376645,16.56509046
1.11,830,384510.74,3379.62,5.242376645,16.56509046
0.97,830,384510.74,3379.62,5.242376645,16.56509046
0.91,869,398400.57,3469.17,5.5192749,16.91188845
0.64,869,398400.57,3469.17,5.5192749,16.91188845
0.9,869,398400.57,3469.17,5.5192749,16.91188845
0.85,869,398400.57,3469.17,5.5192749,16.91188845
0.9,869,398400.57,3469.17,5.5192749,16.91188845
0.98,869,398400.57,3469.17,5.5192749,16.91188845
0.83,869,398400.57,3469.17,5.5192749,16.91188845
0.9,869,398400.57,3469.17,5.5192749,16.91188845
1,869,398400.57,3469.17,5.5192749,16.91188845
0.94,869,398400.57,3469.17,5.5192749,16.91188845
0.95,869,398400.57,3469.17,5.5192749,16.91188845
0.85,869,398400.57,3469.17,5.5192749,16.91188845
0.95,869,398400.57,3469.17,5.5192749,16.91188845
0.9,869,398400.57,3469.17,5.5192749,16.91188845
0.82,869,398400.57,3469.17,5.5192749,16.91188845
3.06,393,120654.92,1108.86,6.444035533,17.81994924
3.05,393,120654.92,1108.86,6.444035533,17.81994924
3.11,393,120654.92,1108.86,6.444035533,17.81994924
2.9,393,120654.92,1108.86,6.444035533,17.81994924
2.95,393,120654.92,1108.86,6.444035533,17.81994924
3.15,393,120654.92,1108.86,6.444035533,17.81994924
3.11,393,120654.92,1108.86,6.444035533,17.81994924
3.03,393,120654.92,1108.86,6.444035533,17.81994924
3.06,393,120654.92,1108.86,6.444035533,17.81994924
2.93,393,120654.92,1108.86,6.444035533,17.81994924
3.08,393,120654.92,1108.86,6.444035533,17.81994924
2.98,393,120654.92,1108.86,6.444035533,17.81994924
3.18,393,120654.92,1108.86,6.444035533,17.81994924
3.08,393,120654.92,1108.86,6.444035533,17.81994924
3.16,393,120654.92,1108.86,6.444035533,17.81994924
1.66,426,133530.36,1212.91,7.061194379,18.44625293
1.71,426,133530.36,1212.91,7.061194379,18.44625293
1.78,426,133530.36,1212.91,7.061194379,18.44625293
1.64,426,133530.36,1212.91,7.061194379,18.44625293
1.73,426,133530.36,1212.91,7.061194379,18.44625293
1.71,426,133530.36,1212.91,7.061194379,18.44625293
1.62,426,133530.36,1212.91,7.061194379,18.44625293
1.83,426,133530.36,1212.91,7.061194379,18.44625293
1.67,426,133530.36,1212.91,7.061194379,18.44625293
1.76,426,133530.36,1212.91,7.061194379,18.44625293
1.61,426,133530.36,1212.91,7.061194379,18.44625293
1.8,426,133530.36,1212.91,7.061194379,18.44625293
1.82,426,133530.36,1212.91,7.061194379,18.44625293
1.68,426,133530.36,1212.91,7.061194379,18.44625293
1.8,426,133530.36,1212.91,7.061194379,18.44625293
1.97,461,146726.56,1378.02,7.778311688,19.1375974
2.11,461,146726.56,1378.02,7.778311688,19.1375974
1.99,461,146726.56,1378.02,7.778311688,19.1375974
2.01,461,146726.56,1378.02,7.778311688,19.1375974
2.06,461,146726.56,1378.02,7.778311688,19.1375974
2.11,461,146726.56,1378.02,7.778311688,19.1375974
2.04,461,146726.56,1378.02,7.778311688,19.1375974
2.09,461,146726.56,1378.02,7.778311688,19.1375974
2.02,461,146726.56,1378.02,7.778311688,19.1375974
1.96,461,146726.56,1378.02,7.778311688,19.1375974
1.88,461,146726.56,1378.02,7.778311688,19.1375974
2.15,461,146726.56,1378.02,7.778311688,19.1375974
2.15,461,146726.56,1378.02,7.778311688,19.1375974
1.93,461,146726.56,1378.02,7.778311688,19.1375974
2.1,461,146726.56,1378.02,7.778311688,19.1375974
1.16,498,161171.53,1423.56,8.210921844,19.630501
1.08,498,161171.53,1423.56,8.210921844,19.630501
1.1,498,161171.53,1423.56,8.210921844,19.630501
1.11,498,161171.53,1423.56,8.210921844,19.630501
1.04,498,161171.53,1423.56,8.210921844,19.630501
1.12,498,161171.53,1423.56,8.210921844,19.630501
1.13,498,161171.53,1423.56,8.210921844,19.630501
1.14,498,161171.53,1423.56,8.210921844,19.630501
1.06,498,161171.53,1423.56,8.210921844,19.630501
1.06,498,161171.53,1423.56,8.210921844,19.630501
1.01,498,161171.53,1423.56,8.210921844,19.630501
1.16,498,161171.53,1423.56,8.210921844,19.630501
1.2,498,161171.53,1423.56,8.210921844,19.630501
1.1,498,161171.53,1423.56,8.210921844,19.630501
1.22,498,161171.53,1423.56,8.210921844,19.630501
1.8,759,233501.8,2194.04,5.513855263,16.81431579
1.8,759,233501.8,2194.04,5.513855263,16.81431579
1.73,759,233501.8,2194.04,5.513855263,16.81431579
1.69,759,233501.8,2194.04,5.513855263,16.81431579
1.58,759,233501.8,2194.04,5.513855263,16.81431579
1.57,759,233501.8,2194.04,5.513855263,16.81431579
1.65,759,233501.8,2194.04,5.513855263,16.81431579
1.6,759,233501.8,2194.04,5.513855263,16.81431579
1.67,759,233501.8,2194.04,5.513855263,16.81431579
1.65,759,233501.8,2194.04,5.513855263,16.81431579
1.83,759,233501.8,2194.04,5.513855263,16.81431579
1.72,759,233501.8,2194.04,5.513855263,16.81431579
1.83,759,233501.8,2194.04,5.513855263,16.81431579
1.4,759,233501.8,2194.04,5.513855263,16.81431579
1.45,759,233501.8,2194.04,5.513855263,16.81431579
1.78,797,247205.72,2351.24,6.029285714,17.32293233
1.69,797,247205.72,2351.24,6.029285714,17.32293233
1.68,797,247205.72,2351.24,6.029285714,17.32293233
1.63,797,247205.72,2351.24,6.029285714,17.32293233
1.56,797,247205.72,2351.24,6.029285714,17.32293233
1.69,797,247205.72,2351.24,6.029285714,17.32293233
1.7,797,247205.72,2351.24,6.029285714,17.32293233
1.69,797,247205.72,2351.24,6.029285714,17.32293233
1.62,797,247205.72,2351.24,6.029285714,17.32293233
1.8,797,247205.72,2351.24,6.029285714,17.32293233
1.89,797,247205.72,2351.24,6.029285714,17.32293233
1.79,797,247205.72,2351.24,6.029285714,17.32293233
1.89,797,247205.72,2351.24,6.029285714,17.32293233
1.73,797,247205.72,2351.24,6.029285714,17.32293233
1.71,797,247205.72,2351.24,6.029285714,17.32293233
1.96,828,258669.97,2432.13,6.430434258,17.73143546
1.98,828,258669.97,2432.13,6.430434258,17.73143546
1.78,828,258669.97,2432.13,6.430434258,17.73143546
1.85,828,258669.97,2432.13,6.430434258,17.73143546
1.79,828,258669.97,2432.13,6.430434258,17.73143546
1.61,828,258669.97,2432.13,6.430434258,17.73143546
2.12,828,258669.97,2432.13,6.430434258,17.73143546
1.68,828,258669.97,2432.13,6.430434258,17.73143546
1.8,828,258669.97,2432.13,6.430434258,17.73143546
1.91,828,258669.97,2432.13,6.430434258,17.73143546
1.94,828,258669.97,2432.13,6.430434258,17.73143546
2.08,828,258669.97,2432.13,6.430434258,17.73143546
2,828,258669.97,2432.13,6.430434258,17.73143546
2.07,828,258669.97,2432.13,6.430434258,17.73143546
1.72,828,258669.97,2432.13,6.430434258,17.73143546
1.3,863,271435.51,2521.06,6.890393519,18.18484954
1.28,863,271435.51,2521.06,6.890393519,18.18484954
1.31,863,271435.51,2521.06,6.890393519,18.18484954
1.3,863,271435.51,2521.06,6.890393519,18.18484954
1.29,863,271435.51,2521.06,6.890393519,18.18484954
1.16,863,271435.51,2521.06,6.890393519,18.18484954
1.47,863,271435.51,2521.06,6.890393519,18.18484954
1.24,863,271435.51,2521.06,6.890393519,18.18484954
1.22,863,271435.51,2521.06,6.890393519,18.18484954
1.29,863,271435.51,2521.06,6.890393519,18.18484954
1.27,863,271435.51,2521.06,6.890393519,18.18484954
1.35,863,271435.51,2521.06,6.890393519,18.18484954
1.35,863,271435.51,2521.06,6.890393519,18.18484954
1.4,863,271435.51,2521.06,6.890393519,18.18484954
1.27,863,271435.51,2521.06,6.890393519,18.18484954
